22-03-01 08:06:11 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 08:06:20 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:06:32 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 08:06:40 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:08:07 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:08:12 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:08:21 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:08:41 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:09:31 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:09:38 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:09:43 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:09:58 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:10:19 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:10:35 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:10:46 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:11:17 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:11:41 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:12:15 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:12:42 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-03-01 08:13:18 [BYE] Call ended by : <sip:linp@147.175.191.210>
22-03-01 08:15:03 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:15:17 [BYE] Call ended by : <sip:linp@147.175.191.210>
22-03-01 08:15:17 [BYE] Call ended by : <sip:linp@147.175.191.210>
22-03-01 08:15:31 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:15:38 [BYE] Call ended by : <sip:Testt@147.175.191.210>
22-03-01 08:15:47 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:15:53 [BYE] Call ended by : <sip:Testt@147.175.191.210>
22-03-01 08:15:58 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:16:09 [BYE] Call ended by : <sip:Testt@147.175.191.210>
22-03-01 08:16:48 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:17:02 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:17:02 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:17:37 [INVITE] Calling : <sip:Testt@147.175.191.210> ------> "linphone" <sip:linphone@147.175.191.210>
22-03-01 08:18:52 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 08:19:35 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:19:35 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-03-01 08:21:49 [BYE] Call ended by : <sip:Testt@147.175.191.210>
22-03-01 08:21:57 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:27:36 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:27:52 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:27:52 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:31:45 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:32:00 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:32:00 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:32:02 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:32:05 [BYE] Call ended by : <sip:Testt@147.175.191.210>
22-03-01 08:32:14 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:33:17 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-03-01 08:33:17 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:33:33 [BYE] Call ended by : <sip:linp@147.175.191.210>
22-03-01 08:33:33 [BYE] Call ended by : <sip:linp@147.175.191.210>
22-03-01 08:33:33 [BYE] Call ended by : <sip:linp@147.175.191.210>
22-03-01 08:33:33 [BYE] Call ended by : <sip:linp@147.175.191.210>
22-03-01 08:35:07 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:35:13 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:35:13 [BYE] Call ended by : <sip:linphone@147.175.191.210>
22-03-01 08:35:18 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:35:32 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:35:32 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:Testt@147.175.191.210>
22-03-01 08:35:32 [INVITE] Calling : <sip:linphone@147.175.191.210> ------> <sip:linp@147.175.191.210>
22-03-01 08:35:32 [INVITE] Calling : <sip:Testt@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-03-01 08:35:32 [INVITE] Calling : <sip:Testt@147.175.191.210> ------> "linp" <sip:linp@147.175.191.210>
22-03-01 08:35:40 [BYE] Call ended by : <sip:Testt@147.175.191.210>
22-03-01 08:35:51 [BYE] Call ended by : "linp" <sip:linp@147.175.191.210>
22-03-01 08:38:50 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
22-03-01 08:39:06 [INVITE] Calling : <sip:linp@147.175.191.210> ------> <sip:linphone@147.175.191.210>
